ICD10,ICD9,Flag
B9781,07989,10000
B9789,07989,10000
B9789,07999,10000
B998,1368,10000
B999,1369,10000
C000,1400,00000
C001,1401,00000
C002,1409,10000
C003,1403,00000
C004,1404,00000
C005,1405,00000
C006,1406,00000
C008,1408,00000
C009,1409,10000
C01,1410,00000
C020,1411,00000
C021,1412,00000
C022,1413,00000
C023,1414,00000
C024,1416,00000
C028,1418,10000
C029,1419,00000
C030,1430,00000
C031,1431,00000
C039,1438,10000
C039,1439,10000
C040,1440,00000
C041,1441,00000
C048,1448,00000
C049,1449,00000
C050,1452,00000
C051,1453,00000
C052,1454,00000
C058,1455,10000
C059,1455,10000
C060,1450,00000
C061,1451,00000
C062,1456,00000
C0680,1458,10000
C0689,1458,10000
C069,1459,00000
C07,1420,00000
C080,1421,00000
C081,1422,00000
C089,1428,10000
C089,1429,10000
C090,1461,00000
C091,1462,00000
C098,1460,10000
C099,1460,10000
C100,1463,00000
C101,1464,00000
C102,1466,00000
C103,1467,00000
C104,1468,10000
C108,1468,10000
C109,1469,00000
C110,1470,00000
C111,1471,00000
C112,1472,00000
C113,1473,00000
C118,1478,10000
C119,1479,00000
C12,1481,00000
C130,1480,00000
C131,1482,00000
C132,1483,00000
C138,1488,10000
C139,1489,00000
C140,1490,00000
C142,1491,00000
C148,1498,10000
C148,1499,10000
C153,1500,10000
C153,1503,10000
C154,1501,10000
C154,1504,10000
C155,1502,10000
C155,1505,10000
C158,1508,10000
C159,1509,00000
C160,1510,00000
C161,1513,00000
C162,1514,00000
C163,1512,00000
C164,1511,00000
C165,1515,00000
C166,1516,00000
C168,1518,10000
C169,1519,00000
C170,1520,00000
C171,1521,00000
C172,1522,00000
C173,1523,00000
C178,1528,10000
C179,1529,00000
C180,1534,00000
C181,1535,00000
C182,1536,00000
C183,1530,00000
C184,1531,00000
C185,1537,00000
C186,1532,00000
C187,1533,00000
C188,1538,10000
C189,1539,00000
C19,1540,00000
C20,1541,00000
C210,1543,00000
C211,1542,00000
C212,1548,10000
C218,1548,10000
C220,1550,10000
C221,1551,00000
C222,1550,10000
C223,1550,10000
C224,1550,10000
C227,1550,10000
C228,1550,10000
C229,1552,00000
C23,1560,00000
C240,1561,00000
C241,1562,00000
C248,1568,00000
C249,1569,00000
C250,1570,00000
C251,1571,00000
C252,1572,00000
C253,1573,00000
C254,1574,00000
C257,1578,10000
C258,1578,10000
C259,1579,00000
C260,1590,00000
C261,1591,00000
C269,1598,10000
C269,1599,10000
C300,1600,00000
